Apple Pan The,10801W.PicoBlvd.WestLA,310-475-3585,American
Arnie Morton's of Chicago,435S.LaCienegaBlvd.LosAngeles,310-246-1501,Steakhouses
Art's Deli,12224VenturaBlvd.StudioCity,818-762-1221,Delis
Asahi Ramen,2027SawtelleBlvd.WestLA,310-479-2231,NoodleShops
Baja Fresh,3345KimberDr.WestlakeVillage,805-498-4049,Mexican
Bel-Air Hotel,701StoneCanyonRd.BelAir,310-472-1211,Californian
Belvedere The,9882LittleSantaMonicaBlvd.BeverlyHills,310-788-2306,PacificNewWave
Benita's Frites,1433ThirdSt.PromenadeSantaMonica,310-458-2889,FastFood
Bernard's,515S.OliveSt.LosAngeles,213-612-1580,Continental
Bistro 45,45S.MentorAve.Pasadena,818-795-2478,Californian
Brent's Deli,19565PartheniaAve.Northridge,818-886-5679,Delis
Brighton Coffee Shop,9600BrightonWayBeverlyHills,310-276-7732,CoffeeShops
Bristol Farms Market Cafe,1570RosecransAve.S.Pasadena,310-643-5229,Californian
Bruno's,3838CentinelaAve.MarVista,310-397-5703,Italian
Cafe '50s,838LincolnBlvd.Venice,310-399-1955,American
Cafe Bizou,14016VenturaBlvd.ShermanOaks,818-788-3536,FrenchBistro
Cafe Blanc,9777LittleSantaMonicaBlvd.BeverlyHills,310-888-0108,PacificNewWave
Campanile,624S.LaBreaAve.LosAngeles,213-938-1447,Californian
Cassell's,3266W.SixthSt.LA,213-480-8668,Hamburgers
Chez Melange,1716PCHRedondoBeach,310-540-1222,Eclectic
Chinois on Main,2709MainSt.SantaMonica,310-392-9025,PacificNewWave
Citrus,6703MelroseAve.LosAngeles,213-857-0034,Californian
Diaghilev,1020N.SanVicenteBlvd.W.Hollywood,310-854-1111,Russian
Don Antonio's,1136WestwoodBlvd.Westwood,310-209-1422,Italian
Duke's,8909SunsetBlvd.W.Hollywood,310-652-3100,CoffeeShops
Falafel King,1059BroxtonAve.Westwood,310-208-4444,MiddleEastern
Feast from the East,1949WestwoodBlvd.WestLA,310-475-0400,Chinese
Fenix at the Argyle,8358SunsetBlvd.W.Hollywood,213-848-6677,French(New)
Granita,23725W.MalibuRd.Malibu,310-456-0488,Californian
Grill The,9560DaytonWayBeverlyHills,310-276-0615,American(Traditional)
Gumbo Pot The,6333W.ThirdSt.LA,213-933-0358,Cajun/Creole
Hollywood Hills Coffee Shop,6145FranklinAve.Hollywood,213-467-7678,CoffeeShops
Indo Cafe,104281/2NationalBlvd.LA,310-815-1290,Indonesian
Jan's Family Restaurant,8424BeverlyBlvd.LA,213-651-2866,CoffeeShops
JiRaffe,502SantaMonicaBlvd.SantaMonica,310-917-6671,Californian
Jody Maroni's Sausage Kingdom,2011OceanFrontWalkVenice,310-306-1995,HotDogs
Joe's,1023AbbotKinneyBlvd.Venice,310-399-5811,American(New)
John O'Groats,10516W.PicoBlvd.WestLA,310-204-0692,CoffeeShops
Johnnie's Pastrami,4017S.SepulvedaBlvd.CulverCity,310-397-6654,Delis
Johnny Reb's Southern Smokehouse,4663LongBeachBlvd.LongBeach,310-423-7327,Southern/Soul
Johnny Rockets (LA),7507MelroseAve.LA,213-651-3361,American
Katsu,1972HillhurstAve.LosFeliz,213-665-1891,Japanese
Killer Shrimp,4000ColfaxAve.StudioCity,818-508-1570,Seafood
Kokomo Cafe,6333W.ThirdSt.LA,213-933-0773,American
Koo Koo Roo,8393W.BeverlyBlvd.LA,213-655-9045,Chicken
L'Orangerie,903N.LaCienegaBlvd.W.Hollywood,310-652-9770,French(Classic)
La Cachette,10506LittleSantaMonicaBlvd.CenturyCity,310-470-4992,French(New)
La Salsa (LA),22800PCHMalibu,310-456-6299,Mexican
La Serenata de Garibaldi,1842E.FirstSt.BoyleHts.,213-265-2887,Mexican/Tex-Mex
Langer's,704S.AlvaradoSt.LA,213-483-8050,Delis
Le Chardonnay (Los Angeles),8284MelroseAve.LosAngeles,213-655-8880,FrenchBistro
LoCal NoChol,30869ThousandOaksBlvd.WestlakeVillage,818-706-7706,HealthFood
Locanda Veneta,8638W.ThirdSt.LosAngeles,310-274-1893,Italian
Main Course The,10509W.PicoBlvd.RanchoPark,310-475-7564,American
Mani's Bakery & Espresso Bar,519S.FairfaxAve.LA,213-938-8800,Desserts
Martha's,22ndStreetGrill2522ndSt.HermosaBeach,310-376-7786,American
Matsuhisa,129N.LaCienegaBlvd.BeverlyHills,310-659-9639,Seafood
Maxwell's Cafe,13329WashingtonBlvd.MarinadelRey,310-306-7829,American
